drug_a_name,drug_b_name,cell,synergy
3385,176870,A375,13.96439243
3385,176870,CAOV3,-7.951635169
3385,176870,DLD1,10.18127129
3385,176870,ES2,15.1231625
3385,176870,HCT116,14.45297793
3385,176870,HT144,9.559453271
3385,176870,HT29,11.33747162
3385,176870,KPL1,-3.015273458
3385,176870,LOVO,12.41733168
3385,176870,MDAMB436,16.1498979
3385,176870,NCIH1650,0.92478625
3385,176870,NCIH2122,24.45497683
3385,176870,NCIH23,6.37341014
3385,176870,NCIH460,17.22484698
3385,176870,NCIH520,7.235758199
3385,176870,OV90,-11.04004585
3385,176870,RKO,20.98757258
3385,176870,RPMI7951,17.00484175
3385,176870,SKMEL30,13.95488386
3385,176870,SKMES1,21.28942476
3385,176870,SKOV3,16.21061763
3385,176870,SW620,0.494890451
3385,176870,SW837,17.29938762
3385,176870,T47D,-3.049710368
3385,176870,UACC62,17.96898601
3385,176870,VCAP,24.41379314
3385,176870,ZR751,22.8306176
3385,5288382,A2058,7.376709238
3385,5288382,A2780,0.911963942
3385,5288382,A375,7.160975098
3385,5288382,CAOV3,-12.98670671
3385,5288382,DLD1,2.433895807
3385,5288382,ES2,-5.25702499
3385,5288382,HCT116,2.916663442
3385,5288382,HT144,5.372215888
3385,5288382,HT29,-3.946071269
3385,5288382,KPL1,2.330576841
3385,5288382,LOVO,-6.353136659
3385,5288382,MDAMB436,5.799105229
3385,5288382,NCIH1650,-6.752269383
3385,5288382,NCIH2122,-2.692734853
3385,5288382,NCIH23,-9.33481084
3385,5288382,NCIH460,-2.446804514
3385,5288382,NCIH520,3.513037679
3385,5288382,OV90,0.284508898
3385,5288382,RKO,5.246180398
3385,5288382,RPMI7951,-8.084247184
3385,5288382,SKMEL30,-80.63896867
3385,5288382,SKMES1,2.703605277
3385,5288382,SKOV3,-9.188164195
3385,5288382,SW620,-2.851271236
3385,5288382,SW837,-10.01418099
3385,5288382,T47D,30.67999441
3385,5288382,UACC62,-1.345401011
3385,5288382,VCAP,14.04451922
3385,5288382,ZR751,-15.00928456
3385,208908,A2058,9.192138149
3385,208908,A2780,8.011124809
3385,208908,A375,7.497787303
3385,208908,CAOV3,-6.77752803
3385,208908,DLD1,11.55462668
3385,208908,ES2,5.344512472
3385,208908,HCT116,9.688038389
3385,208908,HT144,4.670574992
3385,208908,HT29,4.533085635
3385,208908,KPL1,-9.537311313
3385,208908,LOVO,17.4905864
3385,208908,MDAMB436,3.644635579
3385,208908,NCIH1650,0.905817371
3385,208908,NCIH2122,9.956195978
3385,208908,NCIH23,-8.734799525
3385,208908,NCIH460,-2.035012581
3385,208908,NCIH520,-7.263521908
3385,208908,OV90,-9.295070254
3385,208908,RKO,11.54453602
3385,208908,RPMI7951,3.318764866
3385,208908,SKMEL30,9.483503745
3385,208908,SKMES1,11.05964102
3385,208908,SKOV3,7.118783779
3385,208908,SW620,-2.41819166
3385,208908,SW837,6.956325429
3385,208908,T47D,14.90928278
3385,208908,UACC62,9.119946303
3385,208908,VCAP,10.63255814
3385,208908,ZR751,14.67630666
3385,216239,A2058,1.487456177
3385,216239,A2780,2.077318362
3385,216239,A375,1.312446684
3385,216239,CAOV3,-16.67220342
3385,216239,DLD1,6.320510556
3385,216239,ES2,0.126680077
3385,216239,HCT116,-1.955025391
3385,216239,HT144,4.459502599
3385,216239,HT29,-3.551610833
3385,216239,KPL1,-5.046283575
3385,216239,LOVO,-13.81534377
3385,216239,MDAMB436,-4.304317076
3385,216239,NCIH1650,-2.500149835
3385,216239,NCIH2122,-3.768823231
3385,216239,NCIH23,-1.286810998
3385,216239,NCIH460,-0.895637539
3385,216239,NCIH520,5.28680143
3385,216239,OV90,2.416837201
3385,216239,RKO,1.883583913
3385,216239,RPMI7951,-5.041472651
3385,216239,SKMEL30,2.120028283
3385,216239,SKMES1,0.28515445
3385,216239,SKOV3,10.2363359
3385,216239,SW620,0.574152697
3385,216239,SW837,-8.60896251
3385,216239,T47D,-4.531377558
3385,216239,UACC62,0.326449314
3385,216239,VCAP,1.444307744
3385,216239,ZR751,-11.36179266
3385,5329102,A2058,9.621620126
3385,5329102,A2780,9.700986375
3385,5329102,A375,7.351048597
3385,5329102,CAOV3,5.092136253
3385,5329102,DLD1,10.90526109
3385,5329102,ES2,14.41382075
3385,5329102,HCT116,7.332783493
3385,5329102,HT144,4.677389118
3385,5329102,HT29,3.379046398
3385,5329102,KPL1,7.229487797
3385,5329102,LOVO,2.082310176
3385,5329102,MDAMB436,5.231389265
3385,5329102,NCIH1650,4.374037921
3385,5329102,NCIH2122,5.838627875
3385,5329102,NCIH23,3.141670668
3385,5329102,NCIH460,7.129324107
3385,5329102,NCIH520,5.810341082
3385,5329102,OV90,3.664358548
3385,5329102,RKO,7.996355114
3385,5329102,RPMI7951,-1.343261089
3385,5329102,SKMEL30,3.667165234
3385,5329102,SKMES1,11.90261481
3385,5329102,SKOV3,18.2643848
3385,5329102,SW620,6.859498039
3385,5329102,SW837,-4.901836837
3385,5329102,T47D,8.941154332
3385,5329102,UACC62,8.795687473
3385,5329102,VCAP,12.48379896
3385,5329102,ZR751,6.169627433
3385,5311,A2058,-5.508119589
3385,5311,A2780,-3.848401273
3385,5311,A375,0.369467134
3385,5311,CAOV3,-3.518537503
3385,5311,DLD1,0.049805671
3385,5311,ES2,-1.689816761
3385,5311,HCT116,-8.735905545
3385,5311,HT144,-4.394725666
3385,5311,HT29,-1.42768389
3385,5311,KPL1,-4.343384834
3385,5311,LOVO,-8.398048463
3385,5311,MDAMB436,4.86044214
3385,5311,NCIH1650,0.631303772
3385,5311,NCIH2122,10.65626958
3385,5311,NCIH23,-15.10567636
3385,5311,NCIH460,7.057218329
3385,5311,NCIH520,-7.702952771
3385,5311,OV90,-0.210268239
3385,5311,RKO,11.04834069
3385,5311,RPMI7951,-0.240638175
3385,5311,SKMEL30,-4.880397628
3385,5311,SKMES1,14.06216364
3385,5311,SKOV3,5.702955068
3385,5311,SW620,-17.22800516
3385,5311,SW837,-3.532158377
3385,5311,T47D,7.530007948
3385,5311,UACC62,3.932423451
3385,5311,VCAP,22.99565591
3385,5311,ZR751,-20.67751276
45480520,5288382,A2058,22.66972082
45480520,5288382,A2780,11.09323155
45480520,5288382,A375,11.68003927
45480520,5288382,CAOV3,16.7029633
45480520,5288382,DLD1,3.978183476
45480520,5288382,ES2,0.337882732
45480520,5288382,HCT116,22.97216302
45480520,5288382,HT144,2.985761376
45480520,5288382,HT29,-4.782981467
45480520,5288382,KPL1,15.32356048
45480520,5288382,LOVO,13.06813937
45480520,5288382,MDAMB436,17.35034091
45480520,5288382,NCIH1650,-5.261806453
45480520,5288382,NCIH2122,6.877978069
45480520,5288382,NCIH23,-6.233105646
45480520,5288382,NCIH460,-2.126961774
45480520,5288382,NCIH520,-1.957498827
45480520,5288382,OV90,-8.587738631
45480520,5288382,RKO,33.83147768
45480520,5288382,RPMI7951,0.646568958
45480520,5288382,SKMEL30,30.34189343
45480520,5288382,SKMES1,7.808516678
45480520,5288382,SKOV3,-10.74656256
45480520,5288382,SW620,-15.0026455
45480520,5288382,SW837,6.088914754
45480520,5288382,T47D,-27.25381749
45480520,5288382,UACC62,4.172844076
45480520,5288382,VCAP,10.28090348
45480520,5288382,ZR751,-17.08015794
45480520,104842,A2058,37.19755244
45480520,104842,A2780,27.44316256
45480520,104842,A375,29.45915958
45480520,104842,CAOV3,41.82261363
45480520,104842,DLD1,8.203345162
45480520,104842,ES2,4.098810775
45480520,104842,HCT116,23.42591491
45480520,104842,HT144,8.14545575
45480520,104842,HT29,9.5417494
45480520,104842,KPL1,8.552068416
45480520,104842,LOVO,-6.582623677
45480520,104842,MDAMB436,18.2214475
45480520,104842,NCIH1650,4.188074545
45480520,104842,NCIH2122,21.39044581
45480520,104842,NCIH23,16.48392844
45480520,104842,NCIH460,22.60303623
45480520,104842,NCIH520,12.92903881
45480520,104842,OV90,19.59451994
45480520,104842,RKO,30.53249026
45480520,104842,RPMI7951,23.87063157
45480520,104842,SKMEL30,29.65052395
45480520,104842,SKMES1,20.08675206
45480520,104842,SKOV3,6.263746217
45480520,104842,SW620,17.8852224
45480520,104842,SW837,7.044315501
45480520,104842,T47D,39.83231175
45480520,104842,UACC62,24.96544956
45480520,104842,VCAP,-8.532292059
45480520,104842,ZR751,-12.24364896
45480520,216239,A2058,36.19616521
45480520,216239,A2780,8.258155148
45480520,216239,A375,16.66954556
45480520,216239,CAOV3,-2.172723037
45480520,216239,DLD1,12.05900768
45480520,216239,ES2,7.062098273
45480520,216239,HCT116,11.83303853
45480520,216239,HT144,10.74108755
45480520,216239,HT29,3.777313148
45480520,216239,KPL1,4.111858838
45480520,216239,LOVO,2.735996957
45480520,216239,MDAMB436,-0.60226086
45480520,216239,NCIH1650,0.051559908
45480520,216239,NCIH2122,16.50221722
45480520,216239,NCIH23,13.68925526
45480520,216239,NCIH460,11.61299788
45480520,216239,NCIH520,13.6574206
45480520,216239,OV90,5.776490661
45480520,216239,RKO,24.38215762
45480520,216239,RPMI7951,10.40454585
45480520,216239,SKMEL30,5.7759517
45480520,216239,SKMES1,17.41794704
45480520,216239,SKOV3,14.06439559
45480520,216239,SW620,15.89637086
45480520,216239,SW837,5.935988799
45480520,216239,T47D,13.26383871
45480520,216239,UACC62,17.27990593
45480520,216239,VCAP,7.804424433
45480520,216239,ZR751,-4.469226553
45480520,60700,A2058,-1.187531198
45480520,60700,A2780,11.86213265
45480520,60700,A375,-30.05242132
45480520,60700,CAOV3,3.218307642
45480520,60700,DLD1,-10.96641065
45480520,60700,ES2,-15.16316218
45480520,60700,HCT116,-5.778504579
45480520,60700,HT144,-12.71817083
45480520,60700,HT29,-13.74201482
45480520,60700,KPL1,9.915244986
45480520,60700,LOVO,-20.57774761
45480520,60700,MDAMB436,0.824337474
45480520,60700,NCIH1650,-16.28525243
45480520,60700,NCIH2122,-5.01979887
45480520,60700,NCIH23,-13.17469848
45480520,60700,NCIH460,-35.55824357
45480520,60700,NCIH520,-3.088285265
45480520,60700,OV90,-8.185136381
45480520,60700,RKO,-12.44712596
45480520,60700,RPMI7951,-2.173326235
45480520,60700,SKMEL30,-7.161263697
45480520,60700,SKMES1,-17.67508406
45480520,60700,SKOV3,-9.215505679
45480520,60700,SW620,2.557559841
45480520,60700,SW837,-13.77537319
45480520,60700,T47D,10.2752314
45480520,60700,UACC62,-5.778245151
45480520,60700,VCAP,-16.73042364
45480520,60700,ZR751,-3.791271445
387447,45480520,A2058,7.23794769
387447,45480520,A2780,-7.797682304
387447,45480520,A375,15.1176728
387447,45480520,CAOV3,28.91084263
387447,45480520,DLD1,9.165916843
387447,45480520,ES2,-2.230632319
387447,45480520,HCT116,7.320155847
387447,45480520,HT144,-2.168953777
387447,45480520,HT29,-15.42171027
387447,45480520,KPL1,19.04739794
387447,45480520,LOVO,1.040175706
387447,45480520,MDAMB436,2.841427648
387447,45480520,NCIH1650,-11.33553539
387447,45480520,NCIH2122,15.89472332
387447,45480520,NCIH23,-1.349348796
387447,45480520,NCIH460,8.981162136
387447,45480520,NCIH520,-21.12397099
387447,45480520,OV90,5.606347083
387447,45480520,RKO,9.845917157
387447,45480520,RPMI7951,2.286421393
387447,45480520,SKMEL30,-0.891900965
387447,45480520,SKMES1,-8.558738198
387447,45480520,SKOV3,0.855119157
387447,45480520,SW620,6.598887998
387447,45480520,SW837,-11.22651581
387447,45480520,T47D,-18.76073137
387447,45480520,UACC62,-7.514837482
387447,45480520,VCAP,3.072618197
387447,45480520,ZR751,-21.03920298
387447,3062316,A2058,21.6596544
387447,3062316,A2780,27.35302788
387447,3062316,A375,24.4102755
387447,3062316,CAOV3,-2.12586358
387447,3062316,DLD1,13.46373328
387447,3062316,ES2,4.351803643
387447,3062316,HCT116,-9.217891277
387447,3062316,HT144,-13.58574463
387447,3062316,HT29,-4.76018466
387447,3062316,KPL1,28.20252476
387447,3062316,LOVO,38.26264078
387447,3062316,MDAMB436,9.452060079
387447,3062316,NCIH1650,-4.792095598
387447,3062316,NCIH2122,-44.78519575
387447,3062316,NCIH23,-203.7000358
387447,3062316,NCIH460,36.82935113
387447,3062316,NCIH520,-2.926807633
387447,3062316,OV90,-12.67982596
387447,3062316,RKO,8.023336153
387447,3062316,RPMI7951,0.375050682
387447,3062316,SKMEL30,-11.63233672
387447,3062316,SKMES1,-10.15485192
387447,3062316,SKOV3,-16.71126553
387447,3062316,SW620,20.41344681
387447,3062316,SW837,26.88470633
387447,3062316,T47D,4.145651566
387447,3062316,UACC62,-4.79626446
387447,3062316,VCAP,-6.85515238
387447,3062316,ZR751,39.53908878
387447,5288382,A2058,-12.34475241
387447,5288382,A2780,-17.02476713
387447,5288382,A375,9.453486194
387447,5288382,CAOV3,-20.85491468
387447,5288382,DLD1,-6.082900755
387447,5288382,ES2,4.4190087
387447,5288382,HCT116,-4.008197312
387447,5288382,HT144,-13.74556196
387447,5288382,HT29,-30.91418954
387447,5288382,KPL1,-13.38945178
387447,5288382,LOVO,0.984737226
387447,5288382,MDAMB436,4.84516062
387447,5288382,NCIH1650,-35.69315773
387447,5288382,NCIH2122,-25.06318521
387447,5288382,NCIH23,-41.08430335
387447,5288382,NCIH460,-19.40727362
387447,5288382,NCIH520,-56.43622674
387447,5288382,OV90,-24.82392367
387447,5288382,RKO,0.500453922
387447,5288382,RPMI7951,-8.300668844
387447,5288382,SKMEL30,-5.73759191
387447,5288382,SKMES1,-35.14950673
387447,5288382,SKOV3,-5.76096405
387447,5288382,SW620,-20.84675917
387447,5288382,SW837,-33.36509163
387447,5288382,T47D,-54.25105653
387447,5288382,UACC62,-45.52184568
387447,5288382,VCAP,-3.415464665
387447,5288382,ZR751,-65.75981373
387447,104842,A2058,28.09286244
387447,104842,A2780,-22.74125359
387447,104842,A375,26.75478809
387447,104842,CAOV3,-36.21089519
387447,104842,DLD1,5.306002845
387447,104842,ES2,-27.17578999
387447,104842,HCT116,0.252168393
387447,104842,HT144,-5.167653185
387447,104842,HT29,-22.62474929
387447,104842,KPL1,8.161700216
387447,104842,LOVO,11.5858005
387447,104842,MDAMB436,2.917109375
387447,104842,NCIH1650,-17.35480308
387447,104842,NCIH2122,-3.170624804
387447,104842,NCIH23,-7.15582119
387447,104842,NCIH460,12.90781697
387447,104842,NCIH520,-36.06637464
387447,104842,OV90,-23.92654268
387447,104842,RKO,15.17145931
387447,104842,RPMI7951,-14.95782149
387447,104842,SKMEL30,-13.02435125
387447,104842,SKMES1,-10.95026714
387447,104842,SKOV3,-11.00320161
387447,104842,SW620,-1.334621875
387447,104842,SW837,-5.738343875
387447,104842,T47D,-11.05282061
387447,104842,UACC62,-12.11596686
387447,104842,VCAP,7.500964718
387447,104842,ZR751,1.969985838
387447,216239,A2058,5.680212916
387447,216239,A2780,-9.618158337
387447,216239,A375,-1.510791697
387447,216239,CAOV3,-32.20388168
387447,216239,DLD1,-1.744798895
387447,216239,ES2,-23.74510742
387447,216239,HCT116,-4.896653257
387447,216239,HT144,-8.798393335
387447,216239,HT29,-14.24369719
387447,216239,KPL1,-5.81851023
387447,216239,LOVO,-12.18622651
387447,216239,MDAMB436,-16.92885239
387447,216239,NCIH1650,-11.89760523
387447,216239,NCIH2122,-14.79454224
387447,216239,NCIH23,-10.49909452
387447,216239,NCIH460,-5.46597089
387447,216239,NCIH520,-21.3325054
387447,216239,OV90,-12.67239461
387447,216239,RKO,-2.631282431
387447,216239,RPMI7951,-20.15788074
387447,216239,SKMEL30,-3.118219504
387447,216239,SKMES1,-18.67537574
387447,216239,SKOV3,0.950944975
387447,216239,SW620,4.095414573
387447,216239,SW837,-4.021398572
387447,216239,T47D,-6.748286209
387447,216239,UACC62,-11.40104496
387447,216239,VCAP,-20.68077486
387447,216239,ZR751,-27.04694572
387447,60700,A2058,-12.18818438
387447,60700,A2780,-2.587899735
387447,60700,A375,-52.78331514
387447,60700,CAOV3,-3.896399576
387447,60700,DLD1,9.211257173
387447,60700,ES2,-21.45833034
387447,60700,HCT116,-2.197618563
387447,60700,HT144,-5.68452805
387447,60700,HT29,-18.18157992
387447,60700,KPL1,7.565814879
387447,60700,LOVO,0.558329438
387447,60700,MDAMB436,0.990585699
387447,60700,NCIH1650,-37.35306375
387447,60700,NCIH2122,-8.776582069
387447,60700,NCIH23,-17.17711556
387447,60700,NCIH460,-33.81974983
387447,60700,NCIH520,-22.45005136
387447,60700,OV90,-12.20427248
387447,60700,RKO,-3.210901418
387447,60700,RPMI7951,-6.338895574
387447,60700,SKMEL30,-4.762114246
387447,60700,SKMES1,-28.94272555
387447,60700,SKOV3,-10.78558961
387447,60700,SW620,7.747141594
387447,60700,SW837,5.6874714
387447,60700,T47D,-0.682078892
387447,60700,UACC62,-1.498008886
387447,60700,VCAP,-13.31920317
387447,60700,ZR751,-22.41353036
3062316,45480520,A2058,15.35258512
3062316,45480520,A2780,40.28481032
3062316,45480520,A375,4.728885978
3062316,45480520,CAOV3,7.18367823
3062316,45480520,DLD1,5.496575957
3062316,45480520,ES2,4.852935588
3062316,45480520,HCT116,-20.07587466
3062316,45480520,HT144,-15.59125746
3062316,45480520,HT29,4.937883616
3062316,45480520,KPL1,8.05042192
3062316,45480520,LOVO,28.27503441
3062316,45480520,MDAMB436,13.65420466
3062316,45480520,NCIH1650,25.04861151
3062316,45480520,NCIH2122,-46.36721793
3062316,45480520,NCIH23,1.820827482
3062316,45480520,NCIH460,4.251314693
3062316,45480520,NCIH520,21.68497258
3062316,45480520,OV90,4.087746316
3062316,45480520,RKO,-11.54700146
3062316,45480520,RPMI7951,2.431134794
3062316,45480520,SKMEL30,-27.18860154
3062316,45480520,SKMES1,4.724399583
3062316,45480520,SKOV3,0.335806719
3062316,45480520,SW620,13.2083184
3062316,45480520,SW837,18.16777546
3062316,45480520,T47D,-14.32665176
3062316,45480520,UACC62,10.35648705
3062316,45480520,VCAP,6.752579055
3062316,45480520,ZR751,-15.68714113
3062316,5288382,A2058,-6.112381722
3062316,5288382,A2780,36.06922119
3062316,5288382,A375,47.07251276
3062316,5288382,CAOV3,-24.22489573
3062316,5288382,DLD1,21.24725352
3062316,5288382,ES2,-5.742383223
3062316,5288382,HCT116,32.12280936
3062316,5288382,HT144,-55.13889756
3062316,5288382,HT29,31.18587051
3062316,5288382,KPL1,17.99809044
3062316,5288382,LOVO,28.70070653
3062316,5288382,MDAMB436,20.09410803
3062316,5288382,NCIH1650,52.49632011
3062316,5288382,NCIH2122,-5.772702014
3062316,5288382,NCIH23,33.69553393
3062316,5288382,NCIH460,0.726565953
3062316,5288382,NCIH520,17.95904541
3062316,5288382,OV90,22.66802548
3062316,5288382,RKO,3.490053546
3062316,5288382,RPMI7951,13.04843063
3062316,5288382,SKMEL30,-22.05733284
3062316,5288382,SKMES1,32.96730514
3062316,5288382,SKOV3,4.372917095
3062316,5288382,SW620,10.25660572
3062316,5288382,SW837,31.32391017
3062316,5288382,T47D,-1.787261036
3062316,5288382,UACC62,-19.75905096
3062316,5288382,VCAP,13.36458486
3062316,5288382,ZR751,-23.64692556
3062316,104842,A2058,34.01496226
3062316,104842,A2780,74.36260912
3062316,104842,A375,29.77397006
3062316,104842,CAOV3,20.1197885
3062316,104842,DLD1,18.84633688
3062316,104842,ES2,11.76388701
3062316,104842,HCT116,0.423386881
3062316,104842,HT144,-8.464701365
3062316,104842,HT29,24.58091737
3062316,104842,KPL1,20.6107762
3062316,104842,LOVO,39.68598911
3062316,104842,MDAMB436,28.8025396
3062316,104842,NCIH1650,35.80399235
3062316,104842,NCIH2122,-29.04323059
3062316,104842,NCIH23,19.50797808
3062316,104842,NCIH460,27.16015807
3062316,104842,NCIH520,47.29077303
3062316,104842,OV90,5.789915597
3062316,104842,RKO,21.31191706
3062316,104842,RPMI7951,16.81349501
3062316,104842,SKMEL30,-11.11532941
3062316,104842,SKMES1,5.949383929
3062316,104842,SKOV3,4.814792136
3062316,104842,SW620,30.3963556
3062316,104842,SW837,36.39944491
3062316,104842,T47D,40.41995678
3062316,104842,UACC62,26.88806903
3062316,104842,VCAP,31.3949814
3062316,104842,ZR751,-4.675033726
3062316,216239,A2058,36.32943556
3062316,216239,A2780,26.18215744
3062316,216239,A375,29.90385252
3062316,216239,CAOV3,5.145601291
3062316,216239,DLD1,21.48646989
3062316,216239,ES2,14.07460185
3062316,216239,HCT116,29.67690976
3062316,216239,HT144,5.861971966
3062316,216239,HT29,22.03209424
3062316,216239,KPL1,3.052122869
3062316,216239,LOVO,12.2339626
3062316,216239,MDAMB436,14.23573511
3062316,216239,NCIH1650,23.69402051
3062316,216239,NCIH2122,9.263678505
3062316,216239,NCIH23,25.37151937
3062316,216239,NCIH460,24.97815028
3062316,216239,NCIH520,30.51259643
3062316,216239,OV90,14.91350902
3062316,216239,RKO,18.20950604
3062316,216239,RPMI7951,1.455737113
3062316,216239,SKMEL30,-17.45443374
3062316,216239,SKMES1,-5.190580664
3062316,216239,SKOV3,10.28052449
3062316,216239,SW620,26.67138283
3062316,216239,SW837,15.64219662
3062316,216239,T47D,2.901823005
3062316,216239,UACC62,12.66914528
3062316,216239,VCAP,11.41058659
3062316,216239,ZR751,21.34933153
3062316,60700,A2058,6.476481655
3062316,60700,A2780,33.44677757
3062316,60700,A375,-2.776096294
3062316,60700,CAOV3,11.10789014
3062316,60700,DLD1,-0.419867823
3062316,60700,ES2,-15.04850207
3062316,60700,HCT116,6.49431415
3062316,60700,HT144,-31.7610064
3062316,60700,HT29,6.537490517
3062316,60700,KPL1,24.71368371
3062316,60700,LOVO,27.20024806
3062316,60700,MDAMB436,-1.463668701
3062316,60700,NCIH1650,29.11731102
3062316,60700,NCIH2122,-29.80506527
3062316,60700,NCIH23,-14.48832753
3062316,60700,NCIH460,-27.42383273
3062316,60700,NCIH520,62.19001366
3062316,60700,OV90,9.580485859
3062316,60700,RKO,19.98524841
3062316,60700,RPMI7951,1.709941619
3062316,60700,SKMEL30,-18.64284517
3062316,60700,SKMES1,-19.58670156
3062316,60700,SKOV3,2.199262074
3062316,60700,SW620,51.34207805
3062316,60700,SW837,22.827985
3062316,60700,T47D,8.719912898
3062316,60700,UACC62,-13.96532217
3062316,60700,VCAP,7.104908686
3062316,60700,ZR751,-0.046731686
5743,45480520,A2058,-14.70238461
5743,45480520,A2780,5.327418713
5743,45480520,A375,-0.525281681
5743,45480520,CAOV3,-0.872017414
5743,45480520,DLD1,0.641558746
5743,45480520,ES2,-17.42255208
5743,45480520,HCT116,1.951834494
5743,45480520,HT144,-8.983198097
5743,45480520,HT29,-1.02249677
5743,45480520,KPL1,6.408393853
5743,45480520,LOVO,-5.196459674
5743,45480520,MDAMB436,0.719903614
5743,45480520,NCIH1650,-11.97457304
5743,45480520,NCIH2122,-3.775623773
5743,45480520,NCIH23,3.568581256
5743,45480520,NCIH460,-9.809800415
5743,45480520,NCIH520,1.937584075
5743,45480520,OV90,-11.38901128
5743,45480520,RKO,-1.010923651
5743,45480520,RPMI7951,-35.16985908
5743,45480520,SKMEL30,4.110449425
5743,45480520,SKMES1,1.156160791
5743,45480520,SKOV3,-3.43317185
5743,45480520,SW620,0.637240172
5743,45480520,SW837,-17.57839698
5743,45480520,T47D,-13.19120927
5743,45480520,UACC62,11.45032761
5743,45480520,VCAP,-4.970995732
5743,45480520,ZR751,13.77188139
5743,387447,A2058,-1.876554642
5743,387447,A2780,-13.5476308
5743,387447,A375,19.53983026
5743,387447,CAOV3,-13.44802296
5743,387447,DLD1,11.6771235
5743,387447,ES2,-0.766384146
5743,387447,HCT116,9.526525128
5743,387447,HT144,-13.16198248
5743,387447,HT29,-15.19792114
5743,387447,KPL1,14.34511907
5743,387447,LOVO,8.38042906
5743,387447,MDAMB436,-0.823028432
5743,387447,NCIH1650,-15.48085067
5743,387447,NCIH2122,13.23498314
5743,387447,NCIH23,-2.321992868
5743,387447,NCIH460,27.17882652
5743,387447,NCIH520,-20.51845669
5743,387447,OV90,-9.782986039
5743,387447,RKO,18.82387613
5743,387447,RPMI7951,-19.65311033
5743,387447,SKMEL30,8.884595755
5743,387447,SKMES1,-11.43480359
5743,387447,SKOV3,3.520986426
5743,387447,SW620,13.03242414
5743,387447,SW837,-2.015924693
5743,387447,T47D,-9.157277118
5743,387447,UACC62,-7.679437184
5743,387447,VCAP,-0.61240083
5743,387447,ZR751,5.298862386
5743,3062316,A2058,-0.17873576
5743,3062316,A2780,19.81976601
5743,3062316,A375,38.48330291
5743,3062316,CAOV3,52.08151088
5743,3062316,DLD1,6.035833882
5743,3062316,ES2,-27.43501134
5743,3062316,HCT116,-46.19424113
