drug_a_name,drug_b_name,cell,synergy
DB01268,DB00188,A2058,5.2975
DB01268,DB01254,A2058,16.3975
DB01268,DB00530,A2058,14.34
DB01268,DB02424,A2058,10.5975
DB01268,DB01259,A2058,24.8375
DB01268,DB00398,A2058,12.515
DB01268,DB01030,A2058,3.2725
DB01030,DB00398,A2058,8.77
DB00570,DB00188,A2058,4.51
DB00570,DB01254,A2058,-1.2525
DB00570,DB00530,A2058,8.9775
DB00570,DB02424,A2058,3.1475
DB00570,DB01259,A2058,2.5875
DB00570,DB00398,A2058,15.8075
DB00570,DB01268,A2058,7.7925
DB00361,DB00188,A2058,0.125
DB00361,DB01254,A2058,-1.34
DB00361,DB00530,A2058,3.5475
DB00361,DB02424,A2058,3.07
DB00361,DB01259,A2058,1.25
DB00361,DB00398,A2058,5.005
DB00361,DB01268,A2058,3.1575
DB00544,DB00188,A2780,2.3325
DB00544,DB01254,A2780,11.825
DB00544,DB00530,A2780,15.215
DB00544,DB02424,A2780,4.1725
DB00544,DB01259,A2780,15.875
DB00544,DB00398,A2780,5.4125
DB00544,DB01268,A2780,10.6925
DB00188,DB01254,A2780,4.33
DB00188,DB02424,A2780,3.0325
DB00188,DB00398,A2780,3.0225
DB00188,DB01030,A2780,5.575
DB01254,DB02424,A2780,6.5325
DB01254,DB00398,A2780,13.57
DB01254,DB01030,A2780,7.215
DB01234,DB00188,A2780,1.5225
DB01234,DB01254,A2780,5.5075
DB01234,DB00530,A2780,3.7525
DB01234,DB02424,A2780,3.005
DB01234,DB01259,A2780,4.5975
DB01234,DB00398,A2780,2.0025
DB01234,DB01268,A2780,5.795
DB00997,DB00188,A2780,4.1825
DB00997,DB01254,A2780,7.6625
DB00997,DB00530,A2780,6
DB00997,DB02424,A2780,2.6175
DB00997,DB01259,A2780,8.875
DB00997,DB00398,A2780,-0.3575
DB00997,DB01268,A2780,-0.38
DB00530,DB00188,A2780,2.68
DB00530,DB01254,A2780,11.615
DB00530,DB02424,A2780,5.6025
DB00530,DB00398,A2780,8.295
DB00530,DB01030,A2780,13.0275
DB00773,DB00188,A2780,3.64
DB00773,DB01254,A2780,9.715
DB00773,DB00530,A2780,9.72
DB00773,DB02424,A2780,3.5125
DB00773,DB01259,A2780,12.05
DB00773,DB00398,A2780,1.675
DB00773,DB01268,A2780,2.3025
DB02424,DB00398,A2780,2.2275
DB02424,DB01030,A2780,3.3425
DB00441,DB00188,A2780,2.8025
DB00441,DB01254,A2780,5.885
DB00441,DB00530,A2780,4.76
DB00441,DB02424,A2780,0.7825
DB00441,DB01259,A2780,5.7025
DB00441,DB00398,A2780,0.2475
DB00441,DB01268,A2780,2.825
DB01259,DB00188,A2780,5.6925
DB01259,DB01254,A2780,19.5325
DB01259,DB00530,A2780,9.385
DB01259,DB02424,A2780,6.77
DB01259,DB00398,A2780,7.7375
DB01259,DB01030,A2780,10.205
DB00331,DB00188,A2780,0.645
DB00331,DB01254,A2780,10.49
DB00331,DB00530,A2780,4.5225
DB00331,DB02424,A2780,1.3575
DB00331,DB01259,A2780,4.83
DB00331,DB00398,A2780,5.6425
DB00331,DB01268,A2780,11.5225
DB00563,DB00188,A2780,0.7725
DB00563,DB01254,A2780,2.15
DB00563,DB00530,A2780,2.595
DB00563,DB02424,A2780,-1.18
DB00563,DB01259,A2780,2.33
DB00563,DB00398,A2780,0.8175
DB00563,DB01268,A2780,-0.14
DB01229,DB00188,A2780,2.215
DB01229,DB01254,A2780,11.8525
DB01229,DB00530,A2780,4.1875
DB01229,DB02424,A2780,0.67
DB01229,DB01259,A2780,5.665
DB01229,DB00398,A2780,5.3925
DB01229,DB01268,A2780,6.03
DB01268,DB00188,A2780,6.1425
DB01268,DB01254,A2780,15.355
DB01268,DB00530,A2780,12.2275
DB01268,DB02424,A2780,6.17
DB01268,DB01259,A2780,17.3475
DB01268,DB00398,A2780,2.3625
DB01268,DB01030,A2780,3.3675
DB01030,DB00398,A2780,3.0325
DB00570,DB00188,A2780,4.2425
DB00570,DB01254,A2780,9.4425
DB00570,DB00530,A2780,10.5925
DB00570,DB02424,A2780,3.0275
DB00570,DB01259,A2780,8.0425
DB00570,DB00398,A2780,5.5925
DB00570,DB01268,A2780,6.3175
DB00361,DB00188,A2780,2.22
DB00361,DB01254,A2780,6.845
DB00361,DB00530,A2780,5.4375
DB00361,DB02424,A2780,1.44
DB00361,DB01259,A2780,5.8925
DB00361,DB00398,A2780,1.69
DB00361,DB01268,A2780,5.1375
DB00544,DB00188,A375,0.9975
DB00544,DB01254,A375,0.1925
DB00544,DB00530,A375,1.12
DB00544,DB02424,A375,6.2925
DB00544,DB01259,A375,-0.8575
DB00544,DB00398,A375,7.2025
DB00544,DB01268,A375,7.425
DB00188,DB01254,A375,-1.65
DB00188,DB02424,A375,3.785
DB00188,DB00398,A375,8.0675
DB00188,DB01030,A375,-4.8325
DB01254,DB02424,A375,9.8675
DB01254,DB00398,A375,13.25
DB01254,DB01030,A375,6.125
DB01234,DB00188,A375,3.32
DB01234,DB01254,A375,13.6625
DB01234,DB00530,A375,-1.9475
DB01234,DB02424,A375,5.59
DB01234,DB01259,A375,0.11
DB01234,DB00398,A375,13.375
DB01234,DB01268,A375,16.555
DB00997,DB00188,A375,-0.1025
DB00997,DB01254,A375,-4.7025
DB00997,DB00530,A375,-5.645
DB00997,DB02424,A375,-2.4225
DB00997,DB01259,A375,-3.9125
DB00997,DB00398,A375,-16.425
DB00997,DB01268,A375,-17.505
DB00530,DB00188,A375,-0.2325
DB00530,DB01254,A375,-2.415
DB00530,DB02424,A375,10.1875
DB00530,DB00398,A375,8.5525
DB00530,DB01030,A375,15.61
DB00773,DB00188,A375,0.0675
DB00773,DB01254,A375,5.2025
DB00773,DB00530,A375,6.8
DB00773,DB02424,A375,0.365
DB00773,DB01259,A375,3.175
DB00773,DB00398,A375,1.3875
DB00773,DB01268,A375,-1.3525
DB02424,DB00398,A375,6.835
DB02424,DB01030,A375,-0.8975
DB00441,DB00188,A375,1.86
DB00441,DB01254,A375,2.8825
DB00441,DB00530,A375,0.41
DB00441,DB02424,A375,0.23
DB00441,DB01259,A375,-1.6825
DB00441,DB00398,A375,1.2675
DB00441,DB01268,A375,1.7075
DB01259,DB00188,A375,3.1625
DB01259,DB01254,A375,-3.375
DB01259,DB00530,A375,-5.1725
DB01259,DB02424,A375,9.0575
DB01259,DB00398,A375,7.975
DB01259,DB01030,A375,6.255
DB00331,DB00188,A375,-0.7575
DB00331,DB01254,A375,-2.735
DB00331,DB00530,A375,-3.3975
DB00331,DB02424,A375,0.9775
DB00331,DB01259,A375,-2.0175
DB00331,DB00398,A375,8.3
DB00331,DB01268,A375,4.9275
DB00563,DB00188,A375,3.4575
DB00563,DB01254,A375,0.2
DB00563,DB00530,A375,10.26
DB00563,DB02424,A375,5.0325
DB00563,DB01259,A375,9.2575
DB00563,DB00398,A375,6.9325
DB00563,DB01268,A375,-2.295
DB01229,DB00188,A375,-0.9375
DB01229,DB01254,A375,5.08
DB01229,DB00530,A375,9.9375
DB01229,DB02424,A375,-0.54
DB01229,DB01259,A375,17.83
DB01229,DB00398,A375,10.055
DB01229,DB01268,A375,8.3475
DB01268,DB00188,A375,2.7225
DB01268,DB01254,A375,14.285
DB01268,DB00530,A375,7.29
DB01268,DB02424,A375,9.9425
DB01268,DB01259,A375,9.1225
DB01268,DB00398,A375,9.525
DB01268,DB01030,A375,2.1075
DB01030,DB00398,A375,11.225
DB00570,DB00188,A375,1.4525
DB00570,DB01254,A375,-0.4475
DB00570,DB00530,A375,9.4075
DB00570,DB02424,A375,4.5025
DB00570,DB01259,A375,6.7325
DB00570,DB00398,A375,11.075
DB00570,DB01268,A375,0.17
DB00361,DB00188,A375,1.515
DB00361,DB01254,A375,6.54
DB00361,DB00530,A375,12.69
DB00361,DB02424,A375,8.6425
DB00361,DB01259,A375,13.7925
DB00361,DB00398,A375,8.6825
DB00361,DB01268,A375,4.41
DB00544,DB00188,CAOV3,1.1375
DB00544,DB01254,CAOV3,4.4575
DB00544,DB00530,CAOV3,-1.1275
DB00544,DB02424,CAOV3,1.09
DB00544,DB01259,CAOV3,-1.61
DB00544,DB00398,CAOV3,5.51
DB00544,DB01268,CAOV3,10.085
DB00188,DB01254,CAOV3,1.795
DB00188,DB02424,CAOV3,3.9875
DB00188,DB00398,CAOV3,3.91
DB00188,DB01030,CAOV3,5.7625
DB01254,DB02424,CAOV3,-4.565
DB01254,DB00398,CAOV3,6.7125
DB01254,DB01030,CAOV3,2.89
DB01234,DB00188,CAOV3,-5.1325
DB01234,DB01254,CAOV3,5.3275
DB01234,DB00530,CAOV3,-3.7175
DB01234,DB02424,CAOV3,-2.92
DB01234,DB01259,CAOV3,5.6325
DB01234,DB00398,CAOV3,11.0975
DB01234,DB01268,CAOV3,-4.3175
DB00997,DB00188,CAOV3,0.2175
DB00997,DB01254,CAOV3,0.9475
DB00997,DB00530,CAOV3,0.125
DB00997,DB02424,CAOV3,-1.35
DB00997,DB01259,CAOV3,6.675
DB00997,DB00398,CAOV3,-2.3
DB00997,DB01268,CAOV3,-1.97
DB00530,DB00188,CAOV3,1.0425
DB00530,DB01254,CAOV3,-2.6875
DB00530,DB02424,CAOV3,4.61
DB00530,DB00398,CAOV3,8.37
DB00530,DB01030,CAOV3,9.645
DB00773,DB00188,CAOV3,4.3175
DB00773,DB01254,CAOV3,5.6375
DB00773,DB00530,CAOV3,4.815
DB00773,DB02424,CAOV3,6.0475
DB00773,DB01259,CAOV3,8.3425
DB00773,DB00398,CAOV3,7.22
DB00773,DB01268,CAOV3,5.26
DB02424,DB00398,CAOV3,8.285
DB02424,DB01030,CAOV3,2.3775
DB00441,DB00188,CAOV3,1.6575
DB00441,DB01254,CAOV3,-0.09
DB00441,DB00530,CAOV3,0.0225
DB00441,DB02424,CAOV3,-0.17
DB00441,DB01259,CAOV3,2.6025
DB00441,DB00398,CAOV3,-0.735
DB00441,DB01268,CAOV3,1.7975
DB01259,DB00188,CAOV3,1.9975
DB01259,DB01254,CAOV3,3.7375
DB01259,DB00530,CAOV3,-3.0825
DB01259,DB02424,CAOV3,8.405
DB01259,DB00398,CAOV3,9.415
DB01259,DB01030,CAOV3,5.7925
DB00331,DB00188,CAOV3,1.915
DB00331,DB01254,CAOV3,-0.485
DB00331,DB00530,CAOV3,-0.5225
DB00331,DB02424,CAOV3,2.565
DB00331,DB01259,CAOV3,-3.8075
DB00331,DB00398,CAOV3,7.535
DB00331,DB01268,CAOV3,3.1675
DB00563,DB00188,CAOV3,2.565
DB00563,DB01254,CAOV3,-7.365
DB00563,DB00530,CAOV3,-9.41
DB00563,DB02424,CAOV3,-0.8175
DB00563,DB01259,CAOV3,-5.3675
DB00563,DB00398,CAOV3,1.2725
DB00563,DB01268,CAOV3,-4.515
DB01229,DB00188,CAOV3,2.9075
DB01229,DB01254,CAOV3,0.23
DB01229,DB00530,CAOV3,1.3275
DB01229,DB02424,CAOV3,0.16
DB01229,DB01259,CAOV3,7.1325
DB01229,DB00398,CAOV3,2.2925
DB01229,DB01268,CAOV3,0.47
DB01268,DB00188,CAOV3,4.66
DB01268,DB01254,CAOV3,-2.7175
DB01268,DB00530,CAOV3,-1.61
DB01268,DB02424,CAOV3,9.065
DB01268,DB01259,CAOV3,9.74
DB01268,DB00398,CAOV3,4.355
DB01268,DB01030,CAOV3,4.755
DB01030,DB00398,CAOV3,7.755
DB00570,DB00188,CAOV3,4.1575
DB00570,DB01254,CAOV3,-2.505
DB00570,DB00530,CAOV3,6.4625
DB00570,DB02424,CAOV3,2.83
DB00570,DB01259,CAOV3,3.145
DB00570,DB00398,CAOV3,7.5775
DB00570,DB01268,CAOV3,1.815
DB00361,DB00188,CAOV3,2.5525
DB00361,DB01254,CAOV3,-4.01
DB00361,DB00530,CAOV3,0.765
DB00361,DB02424,CAOV3,1.91
DB00361,DB01259,CAOV3,2.7675
DB00361,DB00398,CAOV3,1.855
DB00361,DB01268,CAOV3,-0.795
DB00544,DB00188,COLO320,7.72
DB00544,DB01254,COLO320,5.1975
DB00544,DB00530,COLO320,3.96
DB00544,DB02424,COLO320,3.05
DB00544,DB01259,COLO320,2.7075
DB00544,DB00398,COLO320,-2.4225
DB00544,DB01268,COLO320,6.7175
DB00188,DB01254,COLO320,13.38
DB00188,DB02424,COLO320,19.7325
DB00188,DB00398,COLO320,6.135
DB00188,DB01030,COLO320,10.055
DB01254,DB02424,COLO320,4.4575
DB01254,DB00398,COLO320,2.52
DB01254,DB01030,COLO320,2.4375
DB01234,DB00188,COLO320,18.53
DB01234,DB01254,COLO320,2.9575
DB01234,DB00530,COLO320,3.33
DB01234,DB02424,COLO320,1.9725
DB01234,DB01259,COLO320,4.3775
DB01234,DB00398,COLO320,2.07
DB01234,DB01268,COLO320,11.0825
DB00997,DB00188,COLO320,10.2525
DB00997,DB01254,COLO320,12.815
DB00997,DB00530,COLO320,-11.0325
DB00997,DB02424,COLO320,4.1725
DB00997,DB01259,COLO320,4.1975
DB00997,DB00398,COLO320,-10.72
DB00997,DB01268,COLO320,1.15
DB00530,DB00188,COLO320,13.12
DB00530,DB01254,COLO320,7.47
DB00530,DB02424,COLO320,3.755
DB00530,DB00398,COLO320,-0.4275
DB00530,DB01030,COLO320,2.3525
DB00773,DB00188,COLO320,12.6875
DB00773,DB01254,COLO320,0.13
DB00773,DB00530,COLO320,3.8025
DB00773,DB02424,COLO320,-0.675
DB00773,DB01259,COLO320,8.65
DB00773,DB00398,COLO320,-1.47
DB00773,DB01268,COLO320,6.58
DB02424,DB00398,COLO320,1.5125
DB02424,DB01030,COLO320,4.8825
DB00441,DB00188,COLO320,14.2025
DB00441,DB01254,COLO320,21.1325
DB00441,DB00530,COLO320,5.97
DB00441,DB02424,COLO320,15.8
DB00441,DB01259,COLO320,5.29
DB00441,DB00398,COLO320,-0.405
DB00441,DB01268,COLO320,5.0725
DB01259,DB00188,COLO320,22.55
DB01259,DB01254,COLO320,7.475
DB01259,DB00530,COLO320,0.9425
DB01259,DB02424,COLO320,12.2875
DB01259,DB00398,COLO320,3.265
DB01259,DB01030,COLO320,-1.9275
DB00331,DB00188,COLO320,4.1925
DB00331,DB01254,COLO320,3.7875
DB00331,DB00530,COLO320,3.35
DB00331,DB02424,COLO320,1.8425
DB00331,DB01259,COLO320,7.1575
DB00331,DB00398,COLO320,2.8025
DB00331,DB01268,COLO320,10.225
DB00563,DB00188,COLO320,4.5225
DB00563,DB01254,COLO320,2.3075
DB00563,DB00530,COLO320,1.3725
DB00563,DB02424,COLO320,1.78
DB00563,DB01259,COLO320,2.4075
DB00563,DB00398,COLO320,-1.535
DB00563,DB01268,COLO320,-0.5325
DB01229,DB00188,COLO320,14.225
DB01229,DB01254,COLO320,3.3375
DB01229,DB00530,COLO320,7.965
DB01229,DB02424,COLO320,2.1225
DB01229,DB01259,COLO320,20.705
DB01229,DB00398,COLO320,1.58
DB01229,DB01268,COLO320,13.355
DB01268,DB00188,COLO320,16.0825
DB01268,DB01254,COLO320,14.695
DB01268,DB00530,COLO320,8.54
DB01268,DB02424,COLO320,10.8475
DB01268,DB01259,COLO320,12.0325
DB01268,DB00398,COLO320,3.6725
DB01268,DB01030,COLO320,1.8975
DB01030,DB00398,COLO320,-1.375
DB00570,DB00188,COLO320,15.525
DB00570,DB01254,COLO320,3.735
DB00570,DB00530,COLO320,10.7275
DB00570,DB02424,COLO320,2.0325
DB00570,DB01259,COLO320,7.4575
DB00570,DB00398,COLO320,5.105
DB00570,DB01268,COLO320,15.1925
DB00361,DB00188,COLO320,15.7075
DB00361,DB01254,COLO320,4.5975
DB00361,DB00530,COLO320,14.045
DB00361,DB02424,COLO320,2.27
DB00361,DB01259,COLO320,16.5475
DB00361,DB00398,COLO320,4.775
DB00361,DB01268,COLO320,15.1525
DB00544,DB00188,DLD1,2.1625
DB00544,DB01254,DLD1,4.585
DB00544,DB00530,DLD1,1.4
DB00544,DB02424,DLD1,-2.41
DB00544,DB01259,DLD1,0.05
DB00544,DB00398,DLD1,5.7275
DB00544,DB01268,DLD1,6.5725
DB00188,DB01254,DLD1,1.9175
DB00188,DB02424,DLD1,0.5025
DB00188,DB00398,DLD1,4.9575
DB00188,DB01030,DLD1,3.17
DB01254,DB02424,DLD1,2.1325
DB01254,DB00398,DLD1,8.6425
DB01254,DB01030,DLD1,-2.425
DB01234,DB00188,DLD1,2.32
DB01234,DB01254,DLD1,3.1325
DB01234,DB00530,DLD1,2.025
DB01234,DB02424,DLD1,2.2875
DB01234,DB01259,DLD1,-0.92
DB01234,DB00398,DLD1,12.095
DB01234,DB01268,DLD1,13.9475
DB00997,DB00188,DLD1,0.395
DB00997,DB01254,DLD1,0.7325
DB00997,DB00530,DLD1,-5.2875
DB00997,DB02424,DLD1,-5.6775
DB00997,DB01259,DLD1,2.3675
DB00997,DB00398,DLD1,-0.7375
DB00997,DB01268,DLD1,-7.1725
DB00530,DB00188,DLD1,1.67
DB00530,DB01254,DLD1,15.925
DB00530,DB02424,DLD1,5.9125
DB00530,DB00398,DLD1,8.4575
DB00530,DB01030,DLD1,4.255
DB00773,DB00188,DLD1,0.9625
DB00773,DB01254,DLD1,2.825
DB00773,DB00530,DLD1,3.6375
DB00773,DB02424,DLD1,-2.1925
DB00773,DB01259,DLD1,8.9
DB00773,DB00398,DLD1,5.835
DB00773,DB01268,DLD1,-4.9775
DB02424,DB00398,DLD1,7.75
DB02424,DB01030,DLD1,1.2925
DB00441,DB00188,DLD1,2.7675
DB00441,DB01254,DLD1,1.7225
DB00441,DB00530,DLD1,3.1325
DB00441,DB02424,DLD1,-1.785
DB00441,DB01259,DLD1,-4.1175
DB00441,DB00398,DLD1,3.3075
DB00441,DB01268,DLD1,-3.05
DB01259,DB00188,DLD1,2.665
DB01259,DB01254,DLD1,16.68
DB01259,DB00530,DLD1,2.105
DB01259,DB02424,DLD1,8.415
DB01259,DB00398,DLD1,13.1475
DB01259,DB01030,DLD1,2.955
DB00331,DB00188,DLD1,1.8425
DB00331,DB01254,DLD1,3.9125
DB00331,DB00530,DLD1,3.41
DB00331,DB02424,DLD1,2.5975
DB00331,DB01259,DLD1,-2.08
DB00331,DB00398,DLD1,9.025
DB00331,DB01268,DLD1,3.64
DB00563,DB00188,DLD1,0.8825
DB00563,DB01254,DLD1,-3.2975
DB00563,DB00530,DLD1,-1.565
DB00563,DB02424,DLD1,-1.6575
DB00563,DB01259,DLD1,-3.265
DB00563,DB00398,DLD1,6.5475
DB00563,DB01268,DLD1,-3.7425
DB01229,DB00188,DLD1,1.9325
DB01229,DB01254,DLD1,7.0025
DB01229,DB00530,DLD1,6.7325
DB01229,DB02424,DLD1,-3.28
DB01229,DB01259,DLD1,16.85
DB01229,DB00398,DLD1,10.2825
DB01229,DB01268,DLD1,5.0825
DB01268,DB00188,DLD1,1.84
DB01268,DB01254,DLD1,14.785
DB01268,DB00530,DLD1,11.0625
DB01268,DB02424,DLD1,9.1175
DB01268,DB01259,DLD1,14.1625
DB01268,DB00398,DLD1,6.1625
DB01268,DB01030,DLD1,-9.2525
DB01030,DB00398,DLD1,7.8425
DB00570,DB00188,DLD1,0.235
DB00570,DB01254,DLD1,4.87
DB00570,DB00530,DLD1,6.545
DB00570,DB02424,DLD1,-4.4275
DB00570,DB01259,DLD1,7.4275
DB00570,DB00398,DLD1,12.42
DB00570,DB01268,DLD1,3.8675
DB00361,DB00188,DLD1,-1.8225
DB00361,DB01254,DLD1,5.2875
DB00361,DB00530,DLD1,14.105
DB00361,DB02424,DLD1,-4.78
DB00361,DB01259,DLD1,10.22
DB00361,DB00398,DLD1,10.1975
DB00361,DB01268,DLD1,8.1725
DB00544,DB00188,ES2,4.4425
DB00544,DB01254,ES2,0.96
DB00544,DB00530,ES2,8.9825
DB00544,DB02424,ES2,-4.03
DB00544,DB01259,ES2,-0.04
DB00544,DB00398,ES2,2.015
DB00544,DB01268,ES2,9.585
DB00188,DB01254,ES2,7.015
DB00188,DB02424,ES2,5.66
DB00188,DB00398,ES2,5.5025
DB00188,DB01030,ES2,3.885
DB01254,DB02424,ES2,-0.255
DB01254,DB00398,ES2,7.1725
DB01254,DB01030,ES2,-0.9775
DB01234,DB00188,ES2,13.79
DB01234,DB01254,ES2,4.6425
DB01234,DB00530,ES2,9.2125
DB01234,DB02424,ES2,10.7175
DB01234,DB01259,ES2,3.995
DB01234,DB00398,ES2,11.2525
DB01234,DB01268,ES2,13.53
DB00997,DB00188,ES2,1.9625
DB00997,DB01254,ES2,1.1925
DB00997,DB00530,ES2,2.5675
DB00997,DB02424,ES2,0.7175
DB00997,DB01259,ES2,0.85
DB00997,DB00398,ES2,-2.0275
DB00997,DB01268,ES2,-2.58
DB00530,DB00188,ES2,8.0225
DB00530,DB01254,ES2,9.185
DB00530,DB02424,ES2,8.035
DB00530,DB00398,ES2,8.315
DB00530,DB01030,ES2,12.635
DB00773,DB00188,ES2,2.895
DB00773,DB01254,ES2,-0.9125
DB00773,DB00530,ES2,11.16
DB00773,DB02424,ES2,3.89
DB00773,DB01259,ES2,2.6325
DB00773,DB00398,ES2,1.11
DB00773,DB01268,ES2,-3.0225
DB02424,DB00398,ES2,4.1325
DB02424,DB01030,ES2,4.5725
DB00441,DB00188,ES2,5.57
DB00441,DB01254,ES2,9.345
DB00441,DB00530,ES2,7.0725
DB00441,DB02424,ES2,7.22
DB00441,DB01259,ES2,0.63
DB00441,DB00398,ES2,-0.8825
DB00441,DB01268,ES2,2.77
DB01259,DB00188,ES2,8.69
DB01259,DB01254,ES2,-2.84
DB01259,DB00530,ES2,1.5675
DB01259,DB02424,ES2,2.5875
DB01259,DB00398,ES2,6.815
DB01259,DB01030,ES2,1.49
DB00331,DB00188,ES2,5.6325
DB00331,DB01254,ES2,-2.27
DB00331,DB00530,ES2,2.5425
DB00331,DB02424,ES2,-4.4175
DB00331,DB01259,ES2,-2.7
DB00331,DB00398,ES2,4.35
DB00331,DB01268,ES2,2.565
DB00563,DB00188,ES2,4.25
DB00563,DB01254,ES2,4.06
DB00563,DB00530,ES2,13.155
DB00563,DB02424,ES2,0.4325
DB00563,DB01259,ES2,7.9875
DB00563,DB00398,ES2,5.6175
DB00563,DB01268,ES2,0.595
DB01229,DB00188,ES2,3.695
DB01229,DB01254,ES2,6.45
DB01229,DB00530,ES2,13.4375
DB01229,DB02424,ES2,4.7375
DB01229,DB01259,ES2,15.095
DB01229,DB00398,ES2,7.0925
DB01229,DB01268,ES2,10.2625
DB01268,DB00188,ES2,4.425
DB01268,DB01254,ES2,13.625
DB01268,DB00530,ES2,13.005
DB01268,DB02424,ES2,8.1575
DB01268,DB01259,ES2,4.0125
DB01268,DB00398,ES2,5.405
DB01268,DB01030,ES2,-0.715
DB01030,DB00398,ES2,7.975
DB00570,DB00188,ES2,3.8225
DB00570,DB01254,ES2,0.53
DB00570,DB00530,ES2,13.3875
DB00570,DB02424,ES2,-3.81
DB00570,DB01259,ES2,4.425
DB00570,DB00398,ES2,10.275
DB00570,DB01268,ES2,1.0475
DB00361,DB00188,ES2,5.2525
DB00361,DB01254,ES2,8.02
DB00361,DB00530,ES2,16.3025
DB00361,DB02424,ES2,1.4675
DB00361,DB01259,ES2,12.4825
DB00361,DB00398,ES2,7.5975
DB00361,DB01268,ES2,9.6075
DB00544,DB00188,HCT116,0.598
DB00544,DB01254,HCT116,3.512
DB00544,DB00530,HCT116,2.558
DB00544,DB02424,HCT116,2.95
DB00544,DB01259,HCT116,-1.694
DB00544,DB00398,HCT116,1.818
DB00544,DB01268,HCT116,7.964
DB00188,DB01254,HCT116,2.3225
DB00188,DB02424,HCT116,1.7325
DB00188,DB00398,HCT116,1.58
DB00188,DB01030,HCT116,1.8375
DB01254,DB02424,HCT116,14.845
DB01254,DB00398,HCT116,9.764
DB01254,DB01030,HCT116,5.906
DB01234,DB00188,HCT116,0.6475
DB01234,DB01254,HCT116,1.18
DB01234,DB00530,HCT116,-5.1925
DB01234,DB02424,HCT116,-0.395
DB01234,DB01259,HCT116,-4.47
DB01234,DB00398,HCT116,0.24
DB01234,DB01268,HCT116,3.795
DB00997,DB00188,HCT116,0.5675
DB00997,DB01254,HCT116,7.7325
DB00997,DB00530,HCT116,3.105
DB00997,DB02424,HCT116,0.5775
DB00997,DB01259,HCT116,2.76
DB00997,DB00398,HCT116,-4.0425
DB00997,DB01268,HCT116,-0.4825
DB00530,DB00188,HCT116,1.192
DB00530,DB01254,HCT116,1.185
DB00530,DB02424,HCT116,9.835
DB00530,DB00398,HCT116,2.0775
DB00530,DB01030,HCT116,9.5075
DB00773,DB00188,HCT116,1.265
DB00773,DB01254,HCT116,9.3775
DB00773,DB00530,HCT116,9.15
DB00773,DB02424,HCT116,2.2625
DB00773,DB01259,HCT116,5.575
DB00773,DB00398,HCT116,2.7825
DB00773,DB01268,HCT116,5.4475
DB02424,DB00398,HCT116,3.0575
DB02424,DB01030,HCT116,1.7075
